Comment,Designator,Footprint,LCSC
MS-22D28-G020,S1,MS22D28G020 switch,
DRV8837,U3,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,
Conn_02x08_Odd_Even,J1,PinHeader_2x08_P2.54mm_Vertical,
1k,R3,R_0805_2012Metric,
Jumper_2_Open,JP4,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
1k,R2,R_0805_2012Metric,
TP4056,U4,TP4056,
2.2k,RPROG2,R_0805_2012Metric,
DRV8837,U2,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,
LED,RED2,D_0805_2012Metric,
10k,R5,R_0805_2012Metric,
Jumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
0.1uF,C2,C_0805_2012Metric,
10uF,C5,C_0805_2012Metric,
10k,R4,R_0805_2012Metric,
10uF,C6,C_0805_2012Metric,
Jumper_2_Open,JP3,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
0.1uF,C1,C_0805_2012Metric,
0.1uF,C4,C_0805_2012Metric,
0.1uF,C3,C_0805_2012Metric,
Conn_02x01,J2,PinHeader_2x01_P2.00mm_Vertical,
LED,Green2,D_0805_2012Metric,
Jumper_2_Open,JP2,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
2.2k,R1,R_0805_2012Metric,
