Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,129.45,-38.0,180.0,top
C2,0.1uF,C_0805_2012Metric,125.45,-38.0,0.0,top
C3,0.1uF,C_0805_2012Metric,133.5,-38.0,0.0,top
C4,0.1uF,C_0805_2012Metric,140.0,-37.55,-90.0,top
C5,10uF,C_0805_2012Metric,153.5,-36.05,90.0,top
C6,10uF,C_0805_2012Metric,139.756101,-43.056,0.0,top
Green2,LED,D_0805_2012Metric,119.9375,-44.5,180.0,top
J1,Conn_02x08_Odd_Even,PinHeader_2x08_P2.54mm_Vertical,143.215,-24.765,90.0,top
J2,Conn_02x01,PinHeader_2x01_P2.00mm_Vertical,119.5,-32.0,180.0,top
R1,2.2k,R_0805_2012Metric,156.393601,-39.056,0.0,top
R2,1k,R_0805_2012Metric,125.5875,-42.0,180.0,top
R3,1k,R_0805_2012Metric,126.0,-45.0,180.0,top
R4,10k,R_0805_2012Metric,150.5,-35.0875,-90.0,top
R5,10k,R_0805_2012Metric,151.0,-39.0,0.0,top
RED2,LED,D_0805_2012Metric,119.9375,-39.0,180.0,top
RPROG2,2.2k,R_0805_2012Metric,153.806101,-44.1435,90.0,top
S1,MS-22D28-G020,MS22D28G020 switch,163.0,-39.5,180.0,top
U2,DRV8837,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,156.05,-32.25,180.0,top
U3,DRV8837,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,127.55,-32.25,0.0,top
U4,TP4056,TP4056,149.0,-44.0,180.0,top
